CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,VIN,WMI,ManufacturerFullName,ManufacturerCommonName,ManufacturerParent,Make,Model,ModelYear,VehicleType,Series,Trim,Series2,Trim2,BodyClass,DoorsCount,EngineModel,DisplacementCC,TransmissionStyle,PlantCity,PlantState,PlantCountry,AdaptiveCruiseControl,ElectronicStabilityControl,ForwardCollisionWarning,LaneDepartureWarning,AntilockBrakeSystem,AutomaticEmergencyBraking,BlindSpotMonitoring,LaneKeepSystem,RearVisibilityCamera,DriverAssist,AdaptiveHeadlights,ParkAssist,VINDecodedOn,ManufacturerId,PlantCompanyName,WheelBaseType,TrackWidth,GrossVehicleWeightRating,CurbWeightLB,WheelBaseIN,WheelBaseUpToIN,WheelsCount,TruckBedType,TruckBedLengthIN,TrailerTypeConnection,TrailerLengthFT,BusFloorConfigurationType,MotorcycleSuspensionType,MotorcycleChassisType,SeatsCount,SeatRowsCount,TransmissionSpeeds,DriveType,AxlesCount,AxleConfiguration,BrakeSystemType,BatteryPacksPerVehicle,BatteryModulesPerPack,BatteryCellsPerModule,BatteryType,ChargerLevel,ChargerPowerKW,EngineManufacturer,EngineStrokeCycles,EngineCylindersCount,EngineCoolingType,FuelTypePrimary,FuelTypeSecondary,FuelDeliveryInjectionType,EngineConfiguration,EnginePowerKW,EngineBrakeHP,EngineBrakeUpToHP,EngineValveTrainDesign,EngineElectrificationLevel,EngineTurbo,SeatBeltsType,Pretensioner,AirBagLocFront,AirBagLocKnee,AirBagLocSide,AirBagLocCurtain,AirBagLocSeatCushion,TractionControl,VINDecodeError,CustomMotorcycleType,TruckBodyCabType,TrailerBodyType,BusType,TPMS,ActiveSafetySysNote,DynamicBrakeSupport,PedestrianAutomaticEmergencyBrak,AutoReverseSystem,AutomaticPedestrianAlertingSound,CAN_AACN,EDR,KeylessIgnition,DaytimeRunningLight,LowerBeamHeadlampLightSource,SemiautomaticHeadlampBeamSwitchi,AdaptiveDrivingBeam,SAEAutomationLevel,SAEAutomationLevel_to,RearCrossTrafficAlert,GrossCombinationWeightRating,GrossCombinationWeightRatingUpTo,NCSANote,NCSAMappingException,NCSAMapExcApprovedOn,NCSAMapExcApprovedBy,GrossVehicleWeightRatingUpTo,ErrorText,BatteryInfo,DestinationMarket,DisplacementCI,DisplacementL,EntertainmentSystem,SteeringLocation,Windows,BrakeSystemDesc,BatteryA,BatteryV,BatteryKWh,EVDriveUnit,Note,WheelSizeFront,WheelSizeRear,OtherRestraintSystemInfo,OtherEngineInfo,BatteryA_to,BatteryV_to,BatteryKWh_to,BasePrice,TopSpeedMPH,SuggestedVIN,PossibleValues,BusLength,OtherBusInfo,OtherMotorcycleInfo,OtherTrailerInfo,AdditionalErrorText_,VehicleDescriptor,CASEWGT,PSUSTRAT,VERSION
9679,19,28,1-19-2018-028-03,3,1,19XFB2F59FE1,19X,"HONDA MFG., INDIANA., LLC.",Honda,"HONDA MOTOR CO., LTD",HONDA,Civic,2015,PASSENGER CAR,LX,,,,Sedan/Saloon,4,R18Z1,1802.577040,Continuously Variable Transmission (CVT),GREENBURG,INDIANA,UNITED STATES (USA),,,,,,,,,,,,,26MAY2020:12:41:20.060,993,,,,"Class 1B: 3,001 - 4,000 lb (1,360 - 1,814 kg)",,,,,Not Applicable,,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,4,,Gasoline,,,In-Line,106.64,143.00,,Single Overhead Cam (SOHC),,,Manual,,1st Row (Driver & Passenger),,1st Row (Driver & Passenger),1st Row (Driver & Passenger),,,0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Indirect,,,,,,,,,,,,,,,,,,,,,,,0 - VIN decoded clean. Check Digit (9th position) is correct,,,110,1.802577040,,,,,,,,,,,,"seat belts: front, rear, rear center",,,,,,,,,,,,,,19XFB2F5*FE******,315.893256464838,9,3
9486,26,19,1-26-2018-019-03,3,1,19XFB2F80DE2,19X,"HONDA MFG., INDIANA., LLC.",Honda,"HONDA MOTOR CO., LTD",HONDA,Civic,2013,PASSENGER CAR,EX,,,,Sedan/Saloon,4,R18Z1,1802.577040,Automatic,GREENSBURG,INDIANA,UNITED STATES (USA),,,,,,,,,,,,,26MAY2020:12:41:21.260,993,,,,"Class 1B: 3,001 - 4,000 lb (1,360 - 1,814 kg)",2756,,,,Not Applicable,,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,5,FWD/Front Wheel Drive,,,,,,,,,,,,4,,Gasoline,,,In-Line,104.40,140.00,,Single Overhead Cam (SOHC),,,Manual,,1st Row (Driver & Passenger),,1st Row (Driver & Passenger),1st & 2nd Rows,,,0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Direct,,,,,,,,,,,,,,,,,,,,,,,0 - VIN decoded clean. Check Digit (9th position) is correct,,,110,1.802577040,,,,,,,,,,,,"seat belts: front, rear, rear center",,,,,,,,,,,,,,19XFB2F8*DE******,390.075329061332,10,3
9672,26,28,1-26-2018-028-02,2,2,19XFB2F81FE2,19X,"HONDA MFG., INDIANA., LLC.",Honda,"HONDA MOTOR CO., LTD",HONDA,Civic,2015,PASSENGER CAR,EX,,,,Sedan/Saloon,4,R18Z1,1802.577040,Continuously Variable Transmission (CVT),GREENBURG,INDIANA,UNITED STATES (USA),,,,,,,,,,,,,26MAY2020:12:41:21.403,993,,,,"Class 1B: 3,001 - 4,000 lb (1,360 - 1,814 kg)",,,,,Not Applicable,,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,4,,Gasoline,,,In-Line,106.64,143.00,,Single Overhead Cam (SOHC),,,Manual,,1st Row (Driver & Passenger),,1st Row (Driver & Passenger),1st Row (Driver & Passenger),,,0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Indirect,,,,,,,,,,,,,,,,,,,,,,,0 - VIN decoded clean. Check Digit (9th position) is correct,,,110,1.802577040,,,,,,,,,,,,"seat belts: front, rear, rear center",,,,,,,,,,,,,,19XFB2F8*FE******,37.7656890723637,10,3
9692,20,30,1-20-2018-030-02,2,1,19XFB2F83CE3,19X,"HONDA MFG., INDIANA., LLC.",Honda,"HONDA MOTOR CO., LTD",HONDA,Civic,2012,PASSENGER CAR,EX,,,,Sedan/Saloon,4,R18Z1,1802.577040,Automatic,GREENSBURG,INDIANA,UNITED STATES (USA),,,,,,,,,,,,,26MAY2020:12:41:21.887,993,,,,"Class 1B: 3,001 - 4,000 lb (1,360 - 1,814 kg)",,,,,Not Applicable,,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,5,,,,,,,,,,,,,4,,Gasoline,,,In-Line,104.40,140.00,,Single Overhead Cam (SOHC),,,Manual,,1st Row (Driver & Passenger),,1st Row (Driver & Passenger),1st & 2nd Rows,,,0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Direct,,,,,,,,,,,,,,,,,,,,,,,0 - VIN decoded clean. Check Digit (9th position) is correct,,,110,1.802577040,,,,,,,,,,,,"seat belts: front, rear, and rear center",,,,,,,,,,,,,,19XFB2F8*CE******,173.551574155373,11,3
9391,11,2,1-11-2018-002-07,7,1,19XFB2F88DE2,19X,"HONDA MFG., INDIANA., LLC.",Honda,"HONDA MOTOR CO., LTD",HONDA,Civic,2013,PASSENGER CAR,EX,,,,Sedan/Saloon,4,R18Z1,1802.577040,Automatic,GREENSBURG,INDIANA,UNITED STATES (USA),,,,,,,,,,,,,26MAY2020:12:41:23.510,993,,,,"Class 1B: 3,001 - 4,000 lb (1,360 - 1,814 kg)",2756,,,,Not Applicable,,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,5,FWD/Front Wheel Drive,,,,,,,,,,,,4,,Gasoline,,,In-Line,104.40,140.00,,Single Overhead Cam (SOHC),,,Manual,,1st Row (Driver & Passenger),,1st Row (Driver & Passenger),1st & 2nd Rows,,,0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Direct,,,,,,,,,,,,,,,,,,,,,,,0 - VIN decoded clean. Check Digit (9th position) is correct,,,110,1.802577040,,,,,,,,,,,,"seat belts: front, rear, rear center",,,,,,,,,,,,,,19XFB2F8*DE******,13920.9589573646,8,3
10140,33,50,1-33-2018-050-03,3,1,19XFB2F98EE2,19X,"HONDA MFG., INDIANA., LLC.",Honda,"HONDA MOTOR CO., LTD",HONDA,Civic,2014,PASSENGER CAR,EX-L,,,,Sedan/Saloon,4,R18Z1,1802.577040,Continuously Variable Transmission (CVT),GREENSBURG,INDIANA,UNITED STATES (USA),,,,,,,,,,,,,26MAY2020:12:41:25.713,993,,,,"Class 1B: 3,001 - 4,000 lb (1,360 - 1,814 kg)",,,,,Not Applicable,,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,4,,Gasoline,,,In-Line,106.64,143.00,,Single Overhead Cam (SOHC),,,Manual,,1st Row (Driver & Passenger),,1st Row (Driver & Passenger),1st Row (Driver & Passenger),,,0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Indirect,,,,,,,,,,,,,,,,,,,,,,,0 - VIN decoded clean. Check Digit (9th position) is correct,,,110,1.802577040,,,,,,,,,,,,"seat belts: front, rear, rear center",,,,,,,,,,,,,,19XFB2F9*EE******,31.687750868102,12,3
9653,23,30,1-23-2018-030-03,3,1,19XFC1F38HE0,19X,"HONDA MFG., INDIANA., LLC.",Honda,"HONDA MOTOR CO., LTD",HONDA,Civic,2017,PASSENGER CAR,EX,,,,Sedan/Saloon,4,L15B7,1496,Continuously Variable Transmission (CVT),GREENSBURG,INDIANA,UNITED STATES (USA),Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,,,,26MAY2020:12:41:27.653,993,,,,"Class 1B: 3,001 - 4,000 lb (1,360 - 1,814 kg)",,106.30,,4,Not Applicable,,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,5,2,,4x2,2,,,,,,,,,Honda,4,4,Water,Gasoline,,Stoichiometric gasoline direct injection (SGDI),In-Line,129.75,174.00,,Dual Overhead Cam (DOHC),,Yes,Manual,,1st Row (Driver & Passenger),,1st Row (Driver & Passenger),1st & 2nd Rows,,Standard,0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Indirect,,Standard,,Standard,,,,Standard,Standard,,Standard,,,,,,,,,,,,0 - VIN decoded clean. Check Digit (9th position) is correct,,,91.291521165,1.496000,,Left Hand Drive (LHD),,,,,,,,16,16,,,,,,21140,,,,,,,,,19XFC1F3*HE******,210.880646460147,5,3
9558,20,24,1-20-2018-024-03,3,2,19XFC1F78GE2,19X,"HONDA MFG., INDIANA., LLC.",Honda,"HONDA MOTOR CO., LTD",HONDA,Civic,2016,PASSENGER CAR,EX-TL,,,,Sedan/Saloon,4,L15B7,1500.0,Continuously Variable Transmission (CVT),GREENBURG,INDIANA,UNITED STATES (USA),,,,,,,,,,,,,26MAY2020:12:41:28.073,993,,,,"Class 1B: 3,001 - 4,000 lb (1,360 - 1,814 kg)",,,,,Not Applicable,,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,,4x2,,,,,,,,,,,,4,,Gasoline,,,In-Line,129.75,174.00,,,,Yes,Manual,,1st Row (Driver & Passenger),,1st Row (Driver & Passenger),1st & 2nd Rows,,,0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Indirect,,,,,,,,,,,,,,,,,,,,,,,0 - VIN decoded clean. Check Digit (9th position) is correct,,,91.53561614209,1.5,,,,,,,,,,,,"seat belts: front, rear, rear center",,,,,,,,,,,,,,19XFC1F7*GE******,90.7568850496669,11,3
9276,16,10,1-16-2018-010-03,3,3,19XFC2F50HE0,19X,"HONDA MFG., INDIANA., LLC.",Honda,"HONDA MOTOR CO., LTD",HONDA,Civic,2017,PASSENGER CAR,LX,,,,Sedan/Saloon,4,K20C2,1995,Continuously Variable Transmission (CVT),GREENSBURG,INDIANA,UNITED STATES (USA),Optional,Standard,Optional,Optional,Standard,Optional,,Optional,Standard,,,,26MAY2020:12:41:29.137,993,,,,"Class 1B: 3,001 - 4,000 lb (1,360 - 1,814 kg)",,106.30,,4,Not Applicable,,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,5,2,,4x2,2,,,,,,,,,Honda,4,4,Water,Gasoline,,Sequential Fuel Injection (SFI),In-Line,117.82,158.00,,Dual Overhead Cam (DOHC),,,Manual,,1st Row (Driver & Passenger),,1st Row (Driver & Passenger),1st & 2nd Rows,,Standard,0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Indirect,,Standard,,Standard,,,,,Standard,,Standard,,,,,,,,,,,,0 - VIN decoded clean. Check Digit (9th position) is correct,,,121.742369468,1.995000,,Left Hand Drive (LHD),,,,,,,,16,16,,,,,,19540,,,,,,,,,19XFC2F5*HE******,142.326154285648,5,3
9922,15,44,1-15-2018-044-03,3,2,19XFC2F55GE2,19X,"HONDA MFG., INDIANA., LLC.",Honda,"HONDA MOTOR CO., LTD",HONDA,Civic,2016,PASSENGER CAR,LX,,,,Sedan/Saloon,4,K20C2,2000.0,Continuously Variable Transmission (CVT),GREENBURG,INDIANA,UNITED STATES (USA),,,,,,,,,,,,,26MAY2020:12:41:31.247,993,,,,"Class 1B: 3,001 - 4,000 lb (1,360 - 1,814 kg)",,,,,Not Applicable,,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,4,,Gasoline,,,In-Line,117.82,158.00,,,,,Manual,,1st Row (Driver & Passenger),,1st Row (Driver & Passenger),1st & 2nd Rows,,,0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Indirect,,,,,,,,,,,,,,,,,,,,,,,0 - VIN decoded clean. Check Digit (9th position) is correct,,,122.04748818946,2.0,,,,,,,,,,,,"seat belts: front, rear, rear center",,,,,,,,,,,,,,19XFC2F5*GE******,135.185102428298,1,3
