CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,SEATLOC,SEATTYPE,ORIENTATION,TRACK,PERFORMANCE,INTRESTRAINT,HEADRESTYPE,HEADRESTDAM,HEADRESTACT,ROLLPROTECTION,BELTAVAILINSP,BELTUSEINSP,BELTMALFUNCTIONINSP,BELTANCHORINSP,BELTPRETENSIONINSP,BELTPOSDEVPRESINSP,BELTGUIDEINSP,SEATROW,LOCATION,CASEWGT,PSUSTRAT,VERSION
8536,23,114,1-23-2017-114-04,4,1,13,,,,,,,,,,,,,,,,,1,3,568.592572799913,5,2
8723,13,120,1-13-2017-120-05,5,2,13,,,,,,,,,,,,,,,,,1,3,190.836071244173,7,2
8721,13,118,1-13-2017-118-06,6,2,21,,,,,,,,,,,,,,,,,2,1,2171.89936547399,7,2
8721,13,118,1-13-2017-118-06,6,2,13,,,,,,,,,,,,,,,,,1,3,2171.89936547399,7,2
8721,13,118,1-13-2017-118-06,6,2,23,,,,,,,,,,,,,,,,,2,3,2171.89936547399,7,2
8707,21,72,1-21-2017-072-04,4,1,21,,,,,,,,,,,,,,,,,2,1,623.733065989222,11,2
8707,21,72,1-21-2017-072-04,4,1,13,,,,,,,,,,,,,,,,,1,3,623.733065989222,11,2
8707,21,72,1-21-2017-072-04,4,1,23,,,,,,,,,,,,,,,,,2,3,623.733065989222,11,2
8605,32,141,1-32-2017-141-03,3,1,22,,,,,,,,,,,,,,,,,2,2,494.467967134269,7,2
8758,32,143,1-32-2017-143-03,3,1,33,,,,,,,,,,,,,,,,,3,3,872.776932251383,7,2
8758,32,143,1-32-2017-143-03,3,1,31,,,,,,,,,,,,,,,,,3,1,872.776932251383,7,2
8758,32,143,1-32-2017-143-03,3,2,21,,,,,,,,,,,,,,,,,2,1,872.776932251383,7,2
8758,32,143,1-32-2017-143-03,3,2,22,,,,,,,,,,,,,,,,,2,2,872.776932251383,7,2
8758,32,143,1-32-2017-143-03,3,2,23,,,,,,,,,,,,,,,,,2,3,872.776932251383,7,2
8758,32,143,1-32-2017-143-03,3,2,13,,,,,,,,,,,,,,,,,1,3,872.776932251383,7,2
8639,30,95,1-30-2017-095-05,5,1,13,,,,,,,,,,,,,,,,,1,3,205.629484983352,10,2
8639,30,95,1-30-2017-095-05,5,1,21,,,,,,,,,,,,,,,,,2,1,205.629484983352,10,2
8639,30,95,1-30-2017-095-05,5,1,22,,,,,,,,,,,,,,,,,2,2,205.629484983352,10,2
8639,30,95,1-30-2017-095-05,5,1,23,,,,,,,,,,,,,,,,,2,3,205.629484983352,10,2
8639,30,95,1-30-2017-095-05,5,1,31,,,,,,,,,,,,,,,,,3,1,205.629484983352,10,2
8639,30,95,1-30-2017-095-05,5,1,32,,,,,,,,,,,,,,,,,3,2,205.629484983352,10,2
8639,30,95,1-30-2017-095-05,5,1,33,,,,,,,,,,,,,,,,,3,3,205.629484983352,10,2
8758,32,143,1-32-2017-143-03,3,1,21,,,,,,,,,,,,,,,,,2,1,872.776932251383,7,2
8758,32,143,1-32-2017-143-03,3,1,22,,,,,,,,,,,,,,,,,2,2,872.776932251383,7,2
8758,32,143,1-32-2017-143-03,3,1,23,,,,,,,,,,,,,,,,,2,3,872.776932251383,7,2
8490,26,69,1-26-2017-069-04,4,1,21,,,,,,,,,,,,,,,,,2,1,1328.99402070527,10,2
8490,26,69,1-26-2017-069-04,4,1,22,,,,,,,,,,,,,,,,,2,2,1328.99402070527,10,2
8490,26,69,1-26-2017-069-04,4,1,23,,,,,,,,,,,,,,,,,2,3,1328.99402070527,10,2
8490,26,69,1-26-2017-069-04,4,1,13,,,,,,,,,,,,,,,,,1,3,1328.99402070527,10,2
8679,12,69,1-12-2017-069-03,3,1,13,,,,,,,,,,,,,,,,,1,3,1450.54178421601,9,2
8679,12,69,1-12-2017-069-03,3,1,21,,,,,,,,,,,,,,,,,2,1,1450.54178421601,9,2
8679,12,69,1-12-2017-069-03,3,1,22,,,,,,,,,,,,,,,,,2,2,1450.54178421601,9,2
8679,12,69,1-12-2017-069-03,3,1,23,,,,,,,,,,,,,,,,,2,3,1450.54178421601,9,2
8275,30,85,1-30-2017-085-04,4,1,12,,,,,,,,,,,,,,,,,1,2,7165.23244737877,10,2
8275,30,85,1-30-2017-085-04,4,1,13,,,,,,,,,,,,,,,,,1,3,7165.23244737877,10,2
8423,13,107,1-13-2017-107-03,3,1,22,,,,,,,,,,,,,,,,,2,2,588.496849696097,7,2
8423,13,107,1-13-2017-107-03,3,1,12,,,,,,,,,,,,,,,,,1,2,588.496849696097,7,2
8519,20,142,1-20-2017-142-06,6,1,22,,,,,,,,,,,,,,,,,2,2,299.849328810031,11,2
8615,26,73,1-26-2017-073-03,3,1,13,,,,,,,,,,,,,,,,,1,3,295.933360855806,10,2
8615,26,73,1-26-2017-073-03,3,1,22,,,,,,,,,,,,,,,,,2,2,295.933360855806,10,2
8615,26,73,1-26-2017-073-03,3,1,21,,,,,,,,,,,,,,,,,2,1,295.933360855806,10,2
8615,26,73,1-26-2017-073-03,3,1,23,,,,,,,,,,,,,,,,,2,3,295.933360855806,10,2
8639,30,95,1-30-2017-095-05,5,2,13,,,,,,,,,,,,,,,,,1,3,205.629484983352,10,2
8639,30,95,1-30-2017-095-05,5,2,21,,,,,,,,,,,,,,,,,2,1,205.629484983352,10,2
8639,30,95,1-30-2017-095-05,5,2,22,,,,,,,,,,,,,,,,,2,2,205.629484983352,10,2
8639,30,95,1-30-2017-095-05,5,2,23,,,,,,,,,,,,,,,,,2,3,205.629484983352,10,2
8774,12,70,1-12-2017-070-01,1,1,21,,,,,,,,,,,,,,,,,2,1,473.930148358357,9,2
8774,12,70,1-12-2017-070-01,1,1,22,,,,,,,,,,,,,,,,,2,2,473.930148358357,9,2
8774,12,70,1-12-2017-070-01,1,1,23,,,,,,,,,,,,,,,,,2,3,473.930148358357,9,2
8770,31,47,1-31-2017-047-04,4,1,23,,,,,,,,,,,,,,,,,2,3,1876.28997287848,6,2
8729,29,34,1-29-2017-034-04,4,1,21,,,,,,,,,,,,,,,,,2,1,1723.79548918093,2,2
8729,29,34,1-29-2017-034-04,4,1,23,,,,,,,,,,,,,,,,,2,3,1723.79548918093,2,2
8729,29,34,1-29-2017-034-04,4,1,22,,,,,,,,,,,,,,,,,2,2,1723.79548918093,2,2
8685,23,122,1-23-2017-122-06,6,1,13,,,,,,,,,,,,,,,,,1,3,344.123025577654,5,2
8685,23,122,1-23-2017-122-06,6,1,21,,,,,,,,,,,,,,,,,2,1,344.123025577654,5,2
8685,23,122,1-23-2017-122-06,6,1,22,,,,,,,,,,,,,,,,,2,2,344.123025577654,5,2
8685,23,122,1-23-2017-122-06,6,1,23,,,,,,,,,,,,,,,,,2,3,344.123025577654,5,2
8685,23,122,1-23-2017-122-06,6,2,13,,,,,,,,,,,,,,,,,1,3,344.123025577654,5,2
8685,23,122,1-23-2017-122-06,6,2,22,,,,,,,,,,,,,,,,,2,2,344.123025577654,5,2
8685,23,122,1-23-2017-122-06,6,2,21,,,,,,,,,,,,,,,,,2,1,344.123025577654,5,2
8685,23,122,1-23-2017-122-06,6,2,23,,,,,,,,,,,,,,,,,2,3,344.123025577654,5,2
8779,11,60,1-11-2017-060-03,3,1,13,,,,,,,,,,,,,,,,,1,3,6747.68905404697,8,2
8779,11,60,1-11-2017-060-03,3,1,21,,,,,,,,,,,,,,,,,2,1,6747.68905404697,8,2
8779,11,60,1-11-2017-060-03,3,1,22,,,,,,,,,,,,,,,,,2,2,6747.68905404697,8,2
8779,11,60,1-11-2017-060-03,3,1,23,,,,,,,,,,,,,,,,,2,3,6747.68905404697,8,2
8779,11,60,1-11-2017-060-03,3,2,13,,,,,,,,,,,,,,,,,1,3,6747.68905404697,8,2
8779,11,60,1-11-2017-060-03,3,2,21,,,,,,,,,,,,,,,,,2,1,6747.68905404697,8,2
8779,11,60,1-11-2017-060-03,3,2,22,,,,,,,,,,,,,,,,,2,2,6747.68905404697,8,2
8779,11,60,1-11-2017-060-03,3,2,23,,,,,,,,,,,,,,,,,2,3,6747.68905404697,8,2
8770,31,47,1-31-2017-047-04,4,1,22,,,,,,,,,,,,,,,,,2,2,1876.28997287848,6,2
8724,17,89,1-17-2017-089-05,5,1,22,,,,,,,,,,,,,,,,,2,2,628.832940754307,4,2
8701,19,131,1-19-2017-131-02,2,1,13,,,,,,,,,,,,,,,,,1,3,134.11744751861,9,2
8701,19,131,1-19-2017-131-02,2,1,23,,,,,,,,,,,,,,,,,2,3,134.11744751861,9,2
8701,19,131,1-19-2017-131-02,2,1,22,,,,,,,,,,,,,,,,,2,2,134.11744751861,9,2
8701,19,131,1-19-2017-131-02,2,1,21,,,,,,,,,,,,,,,,,2,1,134.11744751861,9,2
8780,24,133,1-24-2017-133-10,10,2,21,,,,,,,,,,,,,,,,,2,1,5319.38022132995,1,2
8780,24,133,1-24-2017-133-10,10,2,22,,,,,,,,,,,,,,,,,2,2,5319.38022132995,1,2
8780,24,133,1-24-2017-133-10,10,2,23,,,,,,,,,,,,,,,,,2,3,5319.38022132995,1,2
8780,24,133,1-24-2017-133-10,10,2,13,,,,,,,,,,,,,,,,,1,3,5319.38022132995,1,2
8782,24,135,1-24-2017-135-10,10,1,21,,,,,,,,,,,,,,,,,2,1,5319.38022132995,1,2
8782,24,135,1-24-2017-135-10,10,1,22,,,,,,,,,,,,,,,,,2,2,5319.38022132995,1,2
8782,24,135,1-24-2017-135-10,10,1,23,,,,,,,,,,,,,,,,,2,3,5319.38022132995,1,2
8782,24,135,1-24-2017-135-10,10,1,13,,,,,,,,,,,,,,,,,1,3,5319.38022132995,1,2
8734,29,33,1-29-2017-033-09,9,3,13,,,,,,,,,,,,,,,,,1,3,3138.23958322288,2,2
8734,29,33,1-29-2017-033-09,9,3,21,,,,,,,,,,,,,,,,,2,1,3138.23958322288,2,2
8734,29,33,1-29-2017-033-09,9,3,23,,,,,,,,,,,,,,,,,2,3,3138.23958322288,2,2
8734,29,33,1-29-2017-033-09,9,3,22,,,,,,,,,,,,,,,,,2,2,3138.23958322288,2,2
8581,20,146,1-20-2017-146-07,7,1,13,,,,,,,,,,,,,,,,,1,3,914.105659259693,11,2
8581,20,146,1-20-2017-146-07,7,1,21,,,,,,,,,,,,,,,,,2,1,914.105659259693,11,2
8581,20,146,1-20-2017-146-07,7,1,22,,,,,,,,,,,,,,,,,2,2,914.105659259693,11,2
8581,20,146,1-20-2017-146-07,7,1,23,,,,,,,,,,,,,,,,,2,3,914.105659259693,11,2
8694,16,87,1-16-2017-087-02,2,1,21,,,,,,,,,,,,,,,,,2,1,47.9248120394146,5,2
8694,16,87,1-16-2017-087-02,2,1,22,,,,,,,,,,,,,,,,,2,2,47.9248120394146,5,2
8694,16,87,1-16-2017-087-02,2,1,23,,,,,,,,,,,,,,,,,2,3,47.9248120394146,5,2
8817,13,123,1-13-2017-123-04,4,1,13,,,,,,,,,,,,,,,,,1,3,5139.79718527359,7,2
8817,13,123,1-13-2017-123-04,4,1,23,,,,,,,,,,,,,,,,,2,3,5139.79718527359,7,2
8817,13,123,1-13-2017-123-04,4,1,22,,,,,,,,,,,,,,,,,2,2,5139.79718527359,7,2
8817,13,123,1-13-2017-123-04,4,1,21,,,,,,,,,,,,,,,,,2,1,5139.79718527359,7,2
8694,16,87,1-16-2017-087-02,2,2,13,,,,,,,,,,,,,,,,,1,3,47.9248120394146,5,2
8694,16,87,1-16-2017-087-02,2,2,21,,,,,,,,,,,,,,,,,2,1,47.9248120394146,5,2
8694,16,87,1-16-2017-087-02,2,2,22,,,,,,,,,,,,,,,,,2,2,47.9248120394146,5,2
8694,16,87,1-16-2017-087-02,2,2,23,,,,,,,,,,,,,,,,,2,3,47.9248120394146,5,2
8086,33,93,1-33-2017-093-06,6,1,22,,,,,,,,,,,,,,,,,2,2,145.505651811376,12,2
8086,33,93,1-33-2017-093-06,6,2,31,,,,,,,,,,,,,,,,,3,1,145.505651811376,12,2
8086,33,93,1-33-2017-093-06,6,2,32,,,,,,,,,,,,,,,,,3,2,145.505651811376,12,2
8086,33,93,1-33-2017-093-06,6,2,33,,,,,,,,,,,,,,,,,3,3,145.505651811376,12,2
8588,18,65,1-18-2017-065-06,6,2,31,,,,,,,,,,,,,,,,,3,1,839.605650916444,6,2
8588,18,65,1-18-2017-065-06,6,2,32,,,,,,,,,,,,,,,,,3,2,839.605650916444,6,2
8588,18,65,1-18-2017-065-06,6,2,33,,,,,,,,,,,,,,,,,3,3,839.605650916444,6,2
8588,18,65,1-18-2017-065-06,6,2,23,,,,,,,,,,,,,,,,,2,3,839.605650916444,6,2
8588,18,65,1-18-2017-065-06,6,2,21,,,,,,,,,,,,,,,,,2,1,839.605650916444,6,2
8815,13,121,1-13-2017-121-04,4,1,13,,,,,,,,,,,,,,,,,1,3,5139.79718527359,7,2
8815,13,121,1-13-2017-121-04,4,1,23,,,,,,,,,,,,,,,,,2,3,5139.79718527359,7,2
8815,13,121,1-13-2017-121-04,4,1,22,,,,,,,,,,,,,,,,,2,2,5139.79718527359,7,2
8815,13,121,1-13-2017-121-04,4,1,21,,,,,,,,,,,,,,,,,2,1,5139.79718527359,7,2
8552,16,82,1-16-2017-082-04,4,2,21,,,,,,,,,,,,,,,,,2,1,1769.80443338983,5,2
8552,16,82,1-16-2017-082-04,4,2,22,,,,,,,,,,,,,,,,,2,2,1769.80443338983,5,2
8552,16,82,1-16-2017-082-04,4,2,23,,,,,,,,,,,,,,,,,2,3,1769.80443338983,5,2
8168,33,97,1-33-2017-097-03,3,1,22,,,,,,,,,,,,,,,,,2,2,63.400964250274,12,2
8168,33,97,1-33-2017-097-03,3,1,23,,,,,,,,,,,,,,,,,2,3,63.400964250274,12,2
8168,33,97,1-33-2017-097-03,3,1,21,,,,,,,,,,,,,,,,,2,1,63.400964250274,12,2
8068,10,42,1-10-2017-042-04,4,1,13,,,,,,,,,,,,,,,,,1,3,340.542868847016,4,2
8068,10,42,1-10-2017-042-04,4,1,21,,,,,,,,,,,,,,,,,2,1,340.542868847016,4,2
8068,10,42,1-10-2017-042-04,4,1,22,,,,,,,,,,,,,,,,,2,2,340.542868847016,4,2
8068,10,42,1-10-2017-042-04,4,1,23,,,,,,,,,,,,,,,,,2,3,340.542868847016,4,2
8588,18,65,1-18-2017-065-06,6,1,22,,,,,,,,,,,,,,,,,2,2,839.605650916444,6,2
8802,26,77,1-26-2017-077-03,3,1,13,,,,,,,,,,,,,,,,,1,3,544.569920310641,10,2
8784,23,125,1-23-2017-125-03,3,1,13,,,,,,,,,,,,,,,,,1,3,677.063395466539,5,2
8784,23,125,1-23-2017-125-03,3,1,21,,,,,,,,,,,,,,,,,2,1,677.063395466539,5,2
8784,23,125,1-23-2017-125-03,3,1,23,,,,,,,,,,,,,,,,,2,3,677.063395466539,5,2
8784,23,125,1-23-2017-125-03,3,1,22,,,,,,,,,,,,,,,,,2,2,677.063395466539,5,2
8830,24,136,1-24-2017-136-04,4,1,13,,,,,,,,,,,,,,,,,1,3,1137.69106047737,1,2
8830,24,136,1-24-2017-136-04,4,1,21,,,,,,,,,,,,,,,,,2,1,1137.69106047737,1,2
8830,24,136,1-24-2017-136-04,4,1,22,,,,,,,,,,,,,,,,,2,2,1137.69106047737,1,2
8830,24,136,1-24-2017-136-04,4,1,23,,,,,,,,,,,,,,,,,2,3,1137.69106047737,1,2
8068,10,42,1-10-2017-042-04,4,2,13,,,,,,,,,,,,,,,,,1,3,340.542868847016,4,2
8068,10,42,1-10-2017-042-04,4,2,21,,,,,,,,,,,,,,,,,2,1,340.542868847016,4,2
8068,10,42,1-10-2017-042-04,4,2,22,,,,,,,,,,,,,,,,,2,2,340.542868847016,4,2
8068,10,42,1-10-2017-042-04,4,2,23,,,,,,,,,,,,,,,,,2,3,340.542868847016,4,2
7413,11,35,1-11-2017-035-01,1,2,21,,,,,,,,,,,,,,,,,2,1,473.930148358357,8,2
7413,11,35,1-11-2017-035-01,1,2,22,,,,,,,,,,,,,,,,,2,2,473.930148358357,8,2
7413,11,35,1-11-2017-035-01,1,2,23,,,,,,,,,,,,,,,,,2,3,473.930148358357,8,2
7413,11,35,1-11-2017-035-01,1,2,13,,,,,,,,,,,,,,,,,1,3,473.930148358357,8,2
7413,11,35,1-11-2017-035-01,1,1,13,,,,,,,,,,,,,,,,,1,3,473.930148358357,8,2
7413,11,35,1-11-2017-035-01,1,1,23,,,,,,,,,,,,,,,,,2,3,473.930148358357,8,2
7413,11,35,1-11-2017-035-01,1,1,22,,,,,,,,,,,,,,,,,2,2,473.930148358357,8,2
7413,11,35,1-11-2017-035-01,1,1,21,,,,,,,,,,,,,,,,,2,1,473.930148358357,8,2
8700,19,130,1-19-2017-130-08,8,1,12,,,,,,,,,,,,,,,,,1,2,1502.31800595479,9,2
8700,19,130,1-19-2017-130-08,8,1,23,,,,,,,,,,,,,,,,,2,3,1502.31800595479,9,2
8700,19,130,1-19-2017-130-08,8,1,22,,,,,,,,,,,,,,,,,2,2,1502.31800595479,9,2
8700,19,130,1-19-2017-130-08,8,1,21,,,,,,,,,,,,,,,,,2,1,1502.31800595479,9,2
7413,11,35,1-11-2017-035-01,1,3,21,,,,,,,,,,,,,,,,,2,1,473.930148358357,8,2
7413,11,35,1-11-2017-035-01,1,3,22,,,,,,,,,,,,,,,,,2,2,473.930148358357,8,2
7413,11,35,1-11-2017-035-01,1,3,13,,,,,,,,,,,,,,,,,1,3,473.930148358357,8,2
7413,11,35,1-11-2017-035-01,1,3,23,,,,,,,,,,,,,,,,,2,3,473.930148358357,8,2
8610,27,31,1-27-2017-031-04,4,2,22,,,,,,,,,,,,,,,,,2,2,1031.1836342733,3,2
8513,13,112,1-13-2017-112-02,2,1,22,,,,,,,,,,,,,,,,,2,2,83.4293084279653,7,2
8513,13,112,1-13-2017-112-02,2,2,22,,,,,,,,,,,,,,,,,2,2,83.4293084279653,7,2
8569,30,94,1-30-2017-094-01,1,1,13,,,,,,,,,,,,,,,,,1,3,296.473531547872,10,2
8569,30,94,1-30-2017-094-01,1,1,21,,,,,,,,,,,,,,,,,2,1,296.473531547872,10,2
8569,30,94,1-30-2017-094-01,1,1,23,,,,,,,,,,,,,,,,,2,3,296.473531547872,10,2
