CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,VIN,WMI,ManufacturerFullName,ManufacturerCommonName,ManufacturerParent,Make,Model,ModelYear,VehicleType,Series,Trim,Series2,Trim2,BodyClass,DoorsCount,EngineModel,DisplacementCC,TransmissionStyle,PlantCity,PlantState,PlantCountry,AdaptiveCruiseControl,ElectronicStabilityControl,ForwardCollisionWarning,LaneDepartureWarning,AntilockBrakeSystem,AutomaticEmergencyBraking,BlindSpotMonitoring,LaneKeepSystem,RearVisibilityCamera,DriverAssist,AdaptiveHeadlights,ParkAssist,VINDecodedOn,ManufacturerId,PlantCompanyName,WheelBaseType,TrackWidth,GrossVehicleWeightRating,CurbWeightLB,WheelBaseIN,WheelBaseUpToIN,WheelsCount,TruckBedType,TruckBedLengthIN,TrailerTypeConnection,TrailerLengthFT,BusFloorConfigurationType,MotorcycleSuspensionType,MotorcycleChassisType,SeatsCount,SeatRowsCount,TransmissionSpeeds,DriveType,AxlesCount,AxleConfiguration,BrakeSystemType,BatteryPacksPerVehicle,BatteryModulesPerPack,BatteryCellsPerModule,BatteryType,ChargerLevel,ChargerPowerKW,EngineManufacturer,EngineStrokeCycles,EngineCylindersCount,EngineCoolingType,FuelTypePrimary,FuelTypeSecondary,FuelDeliveryInjectionType,EngineConfiguration,EnginePowerKW,EngineBrakeHP,EngineBrakeUpToHP,EngineValveTrainDesign,EngineElectrificationLevel,EngineTurbo,SeatBeltsType,Pretensioner,AirBagLocFront,AirBagLocKnee,AirBagLocSide,AirBagLocCurtain,AirBagLocSeatCushion,TractionControl,VINDecodeError,CustomMotorcycleType,TruckBodyCabType,TrailerBodyType,BusType,VehicleDescriptor,TPMS,CASEWGT,PSUSTRAT,VERSION
7302,24,63,1-24-2017-063-04,4,2,19UUB1F55GA0,19U,"HONDA OF AMERICA MFG., INC.",Honda,"HONDA MOTOR CO., LTD",ACURA,TLX,2016,PASSENGER CAR,,TECH,,,Sedan/Saloon,4,K24W7,2359.737216,Dual-clutch Transmission (DCT),MARYSVILLE,OHIO,UNITED STATES (USA),,,,,,,,,,,,,26MAY2020:12:41:09.107,988,,,,"Class 1C: 4,001 - 5,000 lb (1,814 - 2,268 kg)",,,,,Not Applicable,,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,8,FWD/Front Wheel Drive,,,,,,,,,,,,4,,Gasoline,,,In-Line,153.61,206.00,,Dual Overhead Cam (DOHC),,,Manual,,1st Row (Driver & Passenger),Driver Seat Only,1st Row (Driver & Passenger),1st & 2nd Rows,,,0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,19UUB1F5*GA******,Direct,1011.03814312382,1,2
8420,16,77,1-16-2017-077-03,3,2,19UUB3F58FA0,19U,"HONDA OF AMERICA MFG., INC.",Honda,"HONDA MOTOR CO., LTD",ACURA,TLX,2015,PASSENGER CAR,,SH-AWD TECH V6,,,Sedan/Saloon,4,J35Y6,3474.057568,Automatic,MARYVILLE,OHIO,UNITED STATES (USA),,,,,,,,,,,,,26MAY2020:12:41:09.667,988,,,,"Class 1C: 4,001 - 5,000 lb (1,814 - 2,268 kg)",,,,,Not Applicable,,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,9,AWD/All Wheel Drive,,,,,,,,,,,,6,,Gasoline,,,V-Shaped,216.25,290.00,,Single Overhead Cam (SOHC),,,Manual,,1st Row (Driver & Passenger),Driver Seat Only,1st Row (Driver & Passenger),1st & 2nd Rows,,,0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,19UUB3F5*FA******,Direct,591.83275996298,5,2
7269,30,56,1-30-2017-056-03,3,2,19VDE1F72EE0,19V,"HONDA MFG., INDIANA., LLC.",Honda,"HONDA MOTOR CO., LTD",ACURA,ILX,2014,PASSENGER CAR,,20 Tech,,,Sedan/Saloon,4,R20A5,1999.221808,Automatic,GREENSBURG,INDIANA,UNITED STATES (USA),,,,,,,,,,,,,26MAY2020:12:41:10.277,993,,,,"Class 1B: 3,001 - 4,000 lb (1,360 - 1,814 kg)",,,,,Not Applicable,,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,5,,,,,,,,,,,,,4,,Gasoline,,,In-Line,111.86,150.00,,Single Overhead Cam (SOHC),,,Manual,,1st Row (Driver & Passenger),,1st Row (Driver & Passenger),1st & 2nd Rows,,,0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,19VDE1F7*EE******,Direct,1062.0508783815,10,2
7201,23,56,1-23-2017-056-03,3,2,19XFA16909E0,19X,"HONDA MFG., INDIANA., LLC.",Honda,"HONDA MOTOR CO., LTD",HONDA,Civic,2009,PASSENGER CAR,EX-L,,,,Sedan/Saloon,4,R18A1,1802.577040,Automatic,GREENSBURG,INDIANA,UNITED STATES (USA),,,,,,,,,,,,,26MAY2020:12:41:10.933,993,,,,"Class 1B: 3,001 - 4,000 lb (1,360 - 1,814 kg)",,,,,Not Applicable,,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,5,,,,,,,,,,,,,4,,Gasoline,,,In-Line,104.40,140.00,,Single Overhead Cam (SOHC),,,Manual,,1st Row (Driver & Passenger),,1st Row (Driver & Passenger),1st & 2nd Rows,,,0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,19XFA169*9E******,Direct,212.046369957581,5,2
6130,23,3,1-23-2017-003-06,6,2,19XFB2F50CE3,19X,"HONDA MFG., INDIANA., LLC.",Honda,"HONDA MOTOR CO., LTD",HONDA,Civic,2012,PASSENGER CAR,LX,,,,Sedan/Saloon,4,R18Z1,1802.577040,Automatic,GREENSBURG,INDIANA,UNITED STATES (USA),,,,,,,,,,,,,26MAY2020:12:41:13.060,993,,,,"Class 1B: 3,001 - 4,000 lb (1,360 - 1,814 kg)",,,,,Not Applicable,,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,5,,,,,,,,,,,,,4,,Gasoline,,,In-Line,104.40,140.00,,Single Overhead Cam (SOHC),,,Manual,,1st Row (Driver & Passenger),,1st Row (Driver & Passenger),1st & 2nd Rows,,,0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,19XFB2F5*CE******,Direct,474.463369126954,5,2
6753,21,15,1-21-2017-015-06,6,1,19XFB2F50CE3,19X,"HONDA MFG., INDIANA., LLC.",Honda,"HONDA MOTOR CO., LTD",HONDA,Civic,2012,PASSENGER CAR,LX,,,,Sedan/Saloon,4,R18Z1,1802.577040,Automatic,GREENSBURG,INDIANA,UNITED STATES (USA),,,,,,,,,,,,,26MAY2020:12:41:13.370,993,,,,"Class 1B: 3,001 - 4,000 lb (1,360 - 1,814 kg)",,,,,Not Applicable,,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,5,,,,,,,,,,,,,4,,Gasoline,,,In-Line,104.40,140.00,,Single Overhead Cam (SOHC),,,Manual,,1st Row (Driver & Passenger),,1st Row (Driver & Passenger),1st & 2nd Rows,,,0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,19XFB2F5*CE******,Direct,554.685159972558,11,2
6093,23,2,1-23-2017-002-07,7,1,19XFB2F51CE0,19X,"HONDA MFG., INDIANA., LLC.",Honda,"HONDA MOTOR CO., LTD",HONDA,Civic,2012,PASSENGER CAR,LX,,,,Sedan/Saloon,4,R18Z1,1802.577040,Automatic,GREENSBURG,INDIANA,UNITED STATES (USA),,,,,,,,,,,,,26MAY2020:12:41:13.840,993,,,,"Class 1B: 3,001 - 4,000 lb (1,360 - 1,814 kg)",,,,,Not Applicable,,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,5,,,,,,,,,,,,,4,,Gasoline,,,In-Line,104.40,140.00,,Single Overhead Cam (SOHC),,,Manual,,1st Row (Driver & Passenger),,1st Row (Driver & Passenger),1st & 2nd Rows,,,0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,19XFB2F5*CE******,Direct,929.1099817139,5,2
8490,26,69,1-26-2017-069-04,4,1,19XFB2F51EE2,19X,"HONDA MFG., INDIANA., LLC.",Honda,"HONDA MOTOR CO., LTD",HONDA,Civic,2014,PASSENGER CAR,LX,,,,Sedan/Saloon,4,R18Z1,1802.577040,Continuously Variable Transmission (CVT),GREENSBURG,INDIANA,UNITED STATES (USA),,,,,,,,,,,,,26MAY2020:12:41:14.560,993,,,,"Class 1B: 3,001 - 4,000 lb (1,360 - 1,814 kg)",,,,,Not Applicable,,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,4,,Gasoline,,,In-Line,106.64,143.00,,Single Overhead Cam (SOHC),,,Manual,,1st Row (Driver & Passenger),,1st Row (Driver & Passenger),1st Row (Driver & Passenger),,,0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,19XFB2F5*EE******,Indirect,1328.99402070527,10,2
8948,17,94,1-17-2017-094-02,2,1,19XFB2F52DE0,19X,"HONDA MFG., INDIANA., LLC.",Honda,"HONDA MOTOR CO., LTD",HONDA,Civic,2013,PASSENGER CAR,LX,,,,Sedan/Saloon,4,R18Z1,1802.577040,Automatic,GREENSBURG,INDIANA,UNITED STATES (USA),,,,,,,,,,,,,26MAY2020:12:41:14.857,993,,,,"Class 1B: 3,001 - 4,000 lb (1,360 - 1,814 kg)",,,,,Not Applicable,,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,5,,,,,,,,,,,,,4,,Gasoline,,,In-Line,104.40,140.00,,Single Overhead Cam (SOHC),,,Manual,,1st Row (Driver & Passenger),,1st Row (Driver & Passenger),1st & 2nd Rows,,,0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,19XFB2F5*DE******,Direct,187.311859382444,4,2
8281,15,86,1-15-2017-086-03,3,2,19XFB2F53DE2,19X,"HONDA MFG., INDIANA., LLC.",Honda,"HONDA MOTOR CO., LTD",HONDA,Civic,2013,PASSENGER CAR,LX,,,,Sedan/Saloon,4,R18Z1,1802.577040,Automatic,GREENSBURG,INDIANA,UNITED STATES (USA),,,,,,,,,,,,,26MAY2020:12:41:15.310,993,,,,"Class 1B: 3,001 - 4,000 lb (1,360 - 1,814 kg)",,,,,Not Applicable,,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,5,,,,,,,,,,,,,4,,Gasoline,,,In-Line,104.40,140.00,,Single Overhead Cam (SOHC),,,Manual,,1st Row (Driver & Passenger),,1st Row (Driver & Passenger),1st & 2nd Rows,,,0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,19XFB2F5*DE******,Direct,225.616696067158,1,2
8524,24,125,1-24-2017-125-03,3,2,19XFB2F53DE2,19X,"HONDA MFG., INDIANA., LLC.",Honda,"HONDA MOTOR CO., LTD",HONDA,Civic,2013,PASSENGER CAR,LX,,,,Sedan/Saloon,4,R18Z1,1802.577040,Automatic,GREENSBURG,INDIANA,UNITED STATES (USA),,,,,,,,,,,,,26MAY2020:12:41:15.433,993,,,,"Class 1B: 3,001 - 4,000 lb (1,360 - 1,814 kg)",,,,,Not Applicable,,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,5,,,,,,,,,,,,,4,,Gasoline,,,In-Line,104.40,140.00,,Single Overhead Cam (SOHC),,,Manual,,1st Row (Driver & Passenger),,1st Row (Driver & Passenger),1st & 2nd Rows,,,0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,19XFB2F5*DE******,Direct,199.877249856568,1,2
8200,25,38,1-25-2017-038-03,3,1,19XFB2F55FE2,19X,"HONDA MFG., INDIANA., LLC.",Honda,"HONDA MOTOR CO., LTD",HONDA,Civic,2015,PASSENGER CAR,LX,,,,Sedan/Saloon,4,R18Z1,1802.577040,Continuously Variable Transmission (CVT),GREENBURG,INDIANA,UNITED STATES (USA),,,,,,,,,,,,,26MAY2020:12:41:16.730,993,,,,"Class 1B: 3,001 - 4,000 lb (1,360 - 1,814 kg)",,,,,Not Applicable,,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,4,,Gasoline,,,In-Line,106.64,143.00,,Single Overhead Cam (SOHC),,,Manual,,1st Row (Driver & Passenger),,1st Row (Driver & Passenger),1st Row (Driver & Passenger),,,0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,19XFB2F5*FE******,Indirect,200.659661556227,2,2
6206,20,3,1-20-2017-003-02,2,1,19XFB2F57DE2,19X,"HONDA MFG., INDIANA., LLC.",Honda,"HONDA MOTOR CO., LTD",HONDA,Civic,2013,PASSENGER CAR,LX,,,,Sedan/Saloon,4,R18Z1,1802.577040,Automatic,GREENSBURG,INDIANA,UNITED STATES (USA),,,,,,,,,,,,,26MAY2020:12:41:17.810,993,,,,"Class 1B: 3,001 - 4,000 lb (1,360 - 1,814 kg)",,,,,Not Applicable,,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,5,,,,,,,,,,,,,4,,Gasoline,,,In-Line,104.40,140.00,,Single Overhead Cam (SOHC),,,Manual,,1st Row (Driver & Passenger),,1st Row (Driver & Passenger),1st & 2nd Rows,,,0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,19XFB2F5*DE******,Direct,39.0673380453663,11,2
8763,20,152,1-20-2017-152-04,4,1,19XFB2F57EE2,19X,"HONDA MFG., INDIANA., LLC.",Honda,"HONDA MOTOR CO., LTD",HONDA,Civic,2014,PASSENGER CAR,LX,,,,Sedan/Saloon,4,R18Z1,1802.577040,Continuously Variable Transmission (CVT),GREENSBURG,INDIANA,UNITED STATES (USA),,,,,,,,,,,,,26MAY2020:12:41:18.260,993,,,,"Class 1B: 3,001 - 4,000 lb (1,360 - 1,814 kg)",,,,,Not Applicable,,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,4,,Gasoline,,,In-Line,106.64,143.00,,Single Overhead Cam (SOHC),,,Manual,,1st Row (Driver & Passenger),,1st Row (Driver & Passenger),1st Row (Driver & Passenger),,,0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,19XFB2F5*EE******,Indirect,809.190222996132,11,2
6935,23,39,1-23-2017-039-03,3,1,19XFB2F83FE0,19X,"HONDA MFG., INDIANA., LLC.",Honda,"HONDA MOTOR CO., LTD",HONDA,Civic,2015,PASSENGER CAR,EX,,,,Sedan/Saloon,4,R18Z1,1802.577040,Continuously Variable Transmission (CVT),GREENBURG,INDIANA,UNITED STATES (USA),,,,,,,,,,,,,26MAY2020:12:41:22.340,993,,,,"Class 1B: 3,001 - 4,000 lb (1,360 - 1,814 kg)",,,,,Not Applicable,,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,4,,Gasoline,,,In-Line,106.64,143.00,,Single Overhead Cam (SOHC),,,Manual,,1st Row (Driver & Passenger),,1st Row (Driver & Passenger),1st Row (Driver & Passenger),,,0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,19XFB2F8*FE******,Indirect,237.92598052621,5,2
7601,13,68,1-13-2017-068-04,4,2,19XFB2F87FE0,19X,"HONDA MFG., INDIANA., LLC.",Honda,"HONDA MOTOR CO., LTD",HONDA,Civic,2015,PASSENGER CAR,EX,,,,Sedan/Saloon,4,R18Z1,1802.577040,Continuously Variable Transmission (CVT),GREENBURG,INDIANA,UNITED STATES (USA),,,,,,,,,,,,,26MAY2020:12:41:23.230,993,,,,"Class 1B: 3,001 - 4,000 lb (1,360 - 1,814 kg)",,,,,Not Applicable,,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,4,,Gasoline,,,In-Line,106.64,143.00,,Single Overhead Cam (SOHC),,,Manual,,1st Row (Driver & Passenger),,1st Row (Driver & Passenger),1st Row (Driver & Passenger),,,0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,19XFB2F8*FE******,Indirect,2086.98845774215,7,2
8614,26,72,1-26-2017-072-04,4,1,19XFB2F88DE2,19X,"HONDA MFG., INDIANA., LLC.",Honda,"HONDA MOTOR CO., LTD",HONDA,Civic,2013,PASSENGER CAR,EX,,,,Sedan/Saloon,4,R18Z1,1802.577040,Automatic,GREENSBURG,INDIANA,UNITED STATES (USA),,,,,,,,,,,,,26MAY2020:12:41:23.683,993,,,,"Class 1B: 3,001 - 4,000 lb (1,360 - 1,814 kg)",2756,,,,Not Applicable,,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,5,FWD/Front Wheel Drive,,,,,,,,,,,,4,,Gasoline,,,In-Line,104.40,140.00,,Single Overhead Cam (SOHC),,,Manual,,1st Row (Driver & Passenger),,1st Row (Driver & Passenger),1st & 2nd Rows,,,0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,19XFB2F8*DE******,Direct,937.019574099402,10,2
6628,10,18,1-10-2017-018-04,4,3,19XFB2F91DE0,19X,"HONDA MFG., INDIANA., LLC.",Honda,"HONDA MOTOR CO., LTD",HONDA,Civic,2013,PASSENGER CAR,EX-L,,,,Sedan/Saloon,4,R18Z1,1802.577040,Automatic,GREENSBURG,INDIANA,UNITED STATES (USA),,,,,,,,,,,,,26MAY2020:12:41:25.247,993,,,,"Class 1B: 3,001 - 4,000 lb (1,360 - 1,814 kg)",2756,,,,Not Applicable,,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,5,FWD/Front Wheel Drive,,,,,,,,,,,,4,,Gasoline,,,In-Line,104.40,140.00,,Single Overhead Cam (SOHC),,,Manual,,1st Row (Driver & Passenger),,1st Row (Driver & Passenger),1st & 2nd Rows,,,0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,19XFB2F9*DE******,Direct,602.831138879679,4,2
