CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,VIN,MODELYR,WMI,ManufacturerFullName,ManufacturerCommonName,ManufacturerParent,Make,Model,ModelYear,VehicleType,Series,Trim,Series2,Trim2,BodyClass,DoorsCount,EngineModel,DisplacementCC,TransmissionStyle,PlantCity,PlantState,PlantCountry,AdaptiveCruiseControl,ElectronicStabilityControl,ForwardCollisionWarning,LaneDepartureWarning,AntilockBrakeSystem,AutomaticEmergencyBraking,BlindSpotMonitoring,LaneKeepSystem,RearVisibilityCamera,DriverAssist,AdaptiveHeadlights,ParkAssist,VINDecodedOn,ManufacturerId,PlantCompanyName,WheelBaseType,TrackWidth,GrossVehicleWeightRating,CurbWeightLB,WheelBaseIN,WheelBaseUpToIN,WheelsCount,TruckBedType,TruckBedLengthIN,TrailerTypeConnection,TrailerLengthFT,BusFloorConfigurationType,MotorcycleSuspensionType,MotorcycleChassisType,SeatsCount,SeatRowsCount,TransmissionSpeeds,DriveType,AxlesCount,AxleConfiguration,BrakeSystemType,BatteryPacksPerVehicle,BatteryModulesPerPack,BatteryCellsPerModule,BatteryType,ChargerLevel,ChargerPowerKW,EngineManufacturer,EngineStrokeCycles,EngineCylindersCount,EngineCoolingType,FuelTypePrimary,FuelTypeSecondary,FuelDeliveryInjectionType,EngineConfiguration,EnginePowerKW,EngineBrakeHP,EngineBrakeUpToHP,EngineValveTrainDesign,EngineElectrificationLevel,EngineTurbo,SeatBeltsType,Pretensioner,AirBagLocFront,AirBagLocKnee,AirBagLocSide,AirBagLocCurtain,AirBagLocSeatCushion,TractionControl,VINDecodeError,CustomMotorcycleType,TruckBodyCabType,TrailerBodyType,BusType,VehicleDescriptor,TPMS,CASEWGT,PSUSTRAT,VERSION
12452,26,1,1-26-2019-001-02,2,1,3N1CE2CP4GL3,2016,3N1,"NISSAN MEXICANA, S.A. DE C.V.",Nissan Mexico,"NISSAN MOTOR COMPANY, LTD",NISSAN,Versa Note,2016,PASSENGER CAR,,,,,Hatchback/Liftback/Notchback,4,,1600.0,,AGUASCALIENTES,AGUASCALIENTES,MEXICO,,,,,,,,,,,,,22OCT2020:13:17:49.530,999,"Nissan Mexicana, S.A. de C.V.",,,,,,,,Not Applicable,,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,,4x2,,,,,,,,,,,,4,,Gasoline,,,In-Line,,,,,,,Manual,,1st Row (Driver & Passenger),,1st Row (Driver & Passenger),1st & 2nd Rows,,,0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,3N1CE2CP*GL******,Direct,22.2200532685247,10,4
12471,21,1,1-21-2019-001-03,3,1,4M2ZU66EX5UJ,2005,4M2,"FORD MOTOR COMPANY, USA",Ford,,MERCURY,Mountaineer,2005,MULTIPURPOSE PASSENGER VEHICLE (MPV),,,,,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),4,,4000.0,,LOUISVILLE,KENTUCKY,UNITED STATES (USA),,,,,,,,,,,,,22OCT2020:13:19:11.107,976,,,,"Class 1D: 5,001 - 6,000 lb (2,268 - 2,722 kg)",,,,,,,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,,4x2,,,Hydraulic,,,,,,,,,6,,Gasoline,,,V-Shaped,156.60,210.00,,Single Overhead Cam (SOHC),,,Manual,,1st Row (Driver & Passenger),,,,,,0,Not Applicable,,Not Applicable,Not Applicable,4M2ZU66E*5U******,,184.469405006755,11,4
12468,18,1,1-18-2019-001-08,8,1,4S2CM58V2T43,1996,4S2,"ISUZU MOTORS LIMITED, JAPAN",Isuzu,,ISUZU,Rodeo,1996,MULTIPURPOSE PASSENGER VEHICLE (MPV),4 or 5 seater plus 1/4 ton nominal,,,,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),4,6VD1,3200.0,,LAFAYETTE,INDIANA,UNITED STATES (USA),,,,,,,,,,,,,22OCT2020:13:19:18.357,1171,Subaru-Isuzu Automotive Inc.,,,"Class 1C: 4,001 - 5,000 lb (1,814 - 2,268 kg)",,,,,,,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,,4WD/4-Wheel Drive/4x4,,,,,,,,,,,,6,,Gasoline,,,V-Shaped,,,,Single Overhead Cam (SOHC),,,Manual,,1st Row (Driver & Passenger),,,,,,0,Not Applicable,,Not Applicable,Not Applicable,4S2CM58V*T4******,,145.317860723262,6,4
12454,33,1,1-33-2019-001-07,7,1,4T1BF30K94U5,2004,4T1,"TOYOTA MOTOR MANUFACTURING, KENTUCKY, INC.",Toyota,TOYOTA MOTOR CORPORATION,TOYOTA,Camry,2004,PASSENGER CAR,ACV30L,LE,,,Sedan/Saloon,4,1MZ-FE,2400.0,,,KENTUCKY,UNITED STATES (USA),,,,,,,,,,,,,22OCT2020:13:19:58.547,1088,"Toyota Motor Manufacturing, Kentucky, Inc",,,,,,,,Not Applicable,,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,,4x2,,,,,,,,,,Toyota,4,4,Water,Gasoline,,,In-Line,117.07,157.00,217.00,,,,Manual,,1st Row (Driver & Passenger),,1st Row (Driver & Passenger),All Rows,,,0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,4T1BF30K*4U******,,106.863578762211,12,4
12442,11,2,1-11-2019-002-09,9,1,5TDBT44A02S0,2002,5TD,"TOYOTA MOTOR MANUFACTURING, INDIANA, INC.",Toyota,TOYOTA MOTOR CORPORATION,TOYOTA,Sequoia,2002,MULTIPURPOSE PASSENGER VEHICLE (MPV),UCK45L,SR5,,,Wagon,5,2UZ-FE,4663,,,INDIANA,UNITED STATES (USA),,,,,,,,,,,,,22OCT2020:13:24:15.310,1087,"Toyota Motor Manufacturing, Indiana Plant",,,"Class 2E: 6,001 - 7,000 lb (2,722 - 3,175 kg)",,,,,,,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,,4WD/4-Wheel Drive/4x4,,,,,,,,,,Toyota,4,8,Water,Gasoline,,Sequential Fuel Injection (SFI),V-Shaped,178.97,240.00,284.00,Dual Overhead Cam (DOHC),,,,,,,,,,,0,Not Applicable,,Not Applicable,Not Applicable,5TDBT44A*2S******,,928.921429640586,8,4
12477,30,2,1-30-2019-002-04,4,2,5TFHW5F15HX6,2017,5TF,"TOYOTA MOTOR MANUFACTURING, TEXAS, INC.",Toyota,TOYOTA MOTOR CORPORATION,TOYOTA,Tundra,2017,TRUCK,UPK51L/USK51L/USK52L/UPK56L/USK56L/USK57L,Limited,,CrewMax Short Bed,Pickup,4,3UR-FBE,5663,Automatic,,TEXAS,UNITED STATES (USA),,Standard,,,Standard,,Optional,,Standard,,,Optional,22OCT2020:13:24:49.683,1090,"Toyota Motor Manufacturing, Texas Inc.",Long,,"Class 2F: 7,001 - 8,000 lb (3,175 - 3,629 kg)",5380,145.70,,4,Short,66,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,5,2,6,4WD/4-Wheel Drive/4x4,2,,,,,,,,,Toyota,4,8,,Gasoline,Ethanol (E85),Multipoint Fuel Injection (MPFI),V-Shaped,284.11,381.00,378.00,Dual Overhead Cam (DOHC),,,Manual,Yes,1st Row (Driver & Passenger),1st Row (Driver & Passenger),1st Row (Driver & Passenger),All Rows,,Standard,0,Not Applicable,Crew/ Super Crew/ Crew Max,Not Applicable,Not Applicable,5TFHW5F1*HX******,Direct,315.64493614952,10,4
12417,77,1,1-77-2019-001-03,3,1,5XXGM4A73FG4,2015,5XX,HYUNDAI-KIA AMERICA TECHNICAL CENTER INC (HATCI),Hyundia-Kia,,KIA,Optima,2015,PASSENGER CAR,GL(Middle-low grade),,QF F/L,,Sedan/Saloon,4,DOHC GDI THETA II,2400.0,,,GEORGIA,UNITED STATES (USA),,,,,,,,,,,,,22OCT2020:13:25:09.530,1034,"Kia Motor Manufacturing, Georgia",,,,,,,,Not Applicable,,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,Gasoline,,Stoichiometric gasoline direct injection (SGDI),,,,,Dual Overhead Cam (DOHC),,,Manual,,1st Row (Driver & Passenger),,1st Row (Driver & Passenger),1st & 2nd Rows,,,0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,5XXGM4A7*FG******,Direct,1016.06557753526,9,4
12419,12,1,1-12-2019-001-03,3,1,JF1ZNAA13H87,2017,JF1,"FUJI HEAVY INDUSTRIES U.S.A., INC. (C/O SUBARU OF AMERICA)",Subaru,,TOYOTA,86,2017,PASSENGER CAR,86,86 / 860 SE,,,Coupe,2,NA,2000.0,Automatic,OTA,GUNMA,JAPAN,,Standard,,,Standard,,,,Standard,,,,22OCT2020:13:26:57.467,1075,Main Plant,Standard,59.80,"Class 1B: 3,001 - 4,000 lb (1,360 - 1,814 kg)",2774,101.20,,4,Not Applicable,,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,4,2,6,RWD/ Rear Wheel Drive,2,,,,,,,,,Subaru,,4,,Gasoline,,,,149.14,200.00,205.00,,,,Manual,,1st Row (Driver & Passenger),,1st Row (Driver & Passenger),1st Row (Driver & Passenger),,Standard,"0,14",Not Applicable,Not Applicable,Not Applicable,Not Applicable,JF1ZNAA1*H8******,Direct,339.939384901959,9,4
12422,23,1,1-23-2019-001-07,7,1,JHMZE2H72AS0,2010,JHM,"HONDA MOTOR CO., LTD",Honda,,HONDA,Insight,2010,PASSENGER CAR,,EX,,,Hatchback/Liftback/Notchback,5,LDA3,1343.739248,Continuously Variable Transmission (CVT),SUZUKA,MIE,JAPAN,,,,,,,,,,,,,22OCT2020:13:27:46.260,987,,,,"Class 1B: 3,001 - 4,000 lb (1,360 - 1,814 kg)",,,,,Not Applicable,,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,4,,Gasoline,Electric,,In-Line,65.62,88.00,,Single Overhead Cam (SOHC),,,Manual,,1st Row (Driver & Passenger),,1st Row (Driver & Passenger),1st & 2nd Rows,,,0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,JHMZE2H7*AS******,Direct,1421.50072655981,5,4
12446,32,2,1-32-2019-002-09,9,1,JNKBV61F37M8,2007,JNK,"NISSAN MOTOR COMPANY, LTD",Nissan,,INFINITI,G35,2007,PASSENGER CAR,,,,,Sedan/Saloon,4,,3500.0,,,,JAPAN,,,,,,,,,,,,,22OCT2020:13:28:43.607,996,Tochigi Plant,,,,,,,,Not Applicable,,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,,4WD/4-Wheel Drive/4x4,,,,,,,,,,,,,,Gasoline,,,,,,,,,,Manual,,1st Row (Driver & Passenger),,1st Row (Driver & Passenger),1st Row (Driver & Passenger),,,0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,JNKBV61F*7M******,,580.322202098339,7,4
12417,77,1,1-77-2019-001-03,3,2,JTMRFREV7HJ7,2017,JTM,"TOYOTA MOTOR NORTH AMERICA, INC",Toyota,TOYOTA MOTOR CORPORATION,TOYOTA,RAV4,2017,MULTIPURPOSE PASSENGER VEHICLE (MPV),ASA44L/ASA42L/AVA44L,XLE,,M Grade,Wagon,5,2AR-FE,2500.0,Automatic,TAKAOKA,,JAPAN,Standard,Standard,Standard,Standard,Standard,Standard,Optional,Standard,Standard,,,,22OCT2020:13:30:04.260,962,Toyota Motor Corp.,Standard,61.80,"Class 1C: 4,001 - 5,000 lb (1,814 - 2,268 kg)",3485,104.70,,4,,,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,5,2,6,4WD/4-Wheel Drive/4x4,2,,,,,,,,,Toyota,,4,,Gasoline,,,In-Line,131.24,176.00,,Dual Overhead Cam (DOHC),,,Manual,,1st Row (Driver & Passenger),Driver Seat Only,1st Row (Driver & Passenger),All Rows,Passenger Seat Only,Standard,0,Not Applicable,,Not Applicable,Not Applicable,JTMRFREV*HJ******,Direct,1016.06557753526,9,4
12471,21,1,1-21-2019-001-03,3,2,KMHCT4AE3GU9,2016,KMH,HYUNDAI-KIA AMERICA TECHNICAL CENTER INC (HATCI),Hyundia-Kia,,HYUNDAI,Accent,2016,PASSENGER CAR,GS / GLS,,,,Sedan/Saloon,4,DOHC GDI GAMMA,1600.0,,ULSAN,,SOUTH KOREA,,,,,,,,,,,,,22OCT2020:13:30:47.293,1034,Hyundai Motor Company,,,,,,,,Not Applicable,,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,4,,Gasoline,,Stoichiometric gasoline direct injection (SGDI),In-Line,,,,Dual Overhead Cam (DOHC),,,Manual,,1st Row (Driver & Passenger),,1st Row (Driver & Passenger),1st & 2nd Rows,,,0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,KMHCT4AE*GU******,Direct,184.469405006755,11,4
12415,24,1,1-24-2019-001-10,10,1,KMHWF35H04A0,2004,KMH,HYUNDAI-KIA AMERICA TECHNICAL CENTER INC (HATCI),Hyundia-Kia,,HYUNDAI,Sonata,2004,PASSENGER CAR,Super Deluxe (GLS),,,,Sedan/Saloon,4,,2700.0,,ASAN,,SOUTH KOREA,,,,,,,,,,,,,22OCT2020:13:31:22.183,1034,Hyundai Motor Company,,,,,,,,Not Applicable,,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manual,,1st Row (Driver & Passenger),,,,,,0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,KMHWF35H*4A******,,4805.57751704535,1,4
12452,26,1,1-26-2019-001-02,2,2,WBAAZ334X5KW,2005,WBA,BMW AG,BMW,"BMW OF NORTH AMERICA, LLC",BMW,325i,2005,PASSENGER CAR,3-Series,SULEV,,,Sedan/Saloon,4,,2500.0,,MUNICH,,GERMANY,,,,,,,,,,,,,22OCT2020:13:32:56.620,966,,,,"Class 1C: 4,001 - 5,000 lb (1,814 - 2,268 kg)",,107.30,,,Not Applicable,,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,6,,Gasoline,,,,137.21,184.00,,,,,Manual,,1st Row (Driver & Passenger),,,,,,0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,WBAAZ334*5K******,,22.2200532685247,10,4
12455,59,2,1-59-2019-002-04,4,2,ZACCJBBB4HPG,2017,ZAC,FCA ITALY S.P.A.,Fiat,,JEEP,Renegade,2017,MULTIPURPOSE PASSENGER VEHICLE (MPV),,Latitude (North for Canada),,,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),4,,2400.0,,MELFI,,ITALY,,Standard,Optional,Optional,Standard,Optional,Optional,Optional,Standard,,,,21OCT2020:12:26:54.630,1029,,,,"Class 1C: 4,001 - 5,000 lb (1,814 - 2,268 kg)",,101.20,,4,,,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,5,2,,AWD/All Wheel Drive,2,,Hydraulic,,,,,,,,,4,,Gasoline,,,,134.23,180.00,,,,No,Manual,Yes,1st Row (Driver & Passenger),,1st & 2nd Rows,,,Standard,0,Not Applicable,,Not Applicable,Not Applicable,ZACCJBBB*HP******,Direct,388.969009954007,6,4
12462,22,1,1-22-2019-001-08,8,2,1HGCM72253A0,2003,1HG,"HONDA OF AMERICA MFG., INC.",Honda,"HONDA MOTOR CO., LTD",HONDA,Accord,2003,PASSENGER CAR,,LX,,,Coupe,2,K24A4,2359.737216,Automatic,MARYSVILLE,OHIO,UNITED STATES (USA),,,,,,,,,,,,,22OCT2020:12:53:46.397,988,,,,"Class 1C: 4,001 - 5,000 lb (1,814 - 2,268 kg)",,,,,Not Applicable,,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,5,,,,,,,,,,,,,4,,Gasoline,,,In-Line,119.31,160.00,,Dual Overhead Cam (DOHC),,,Manual,,1st Row (Driver & Passenger),,1st Row (Driver & Passenger),1st & 2nd Rows,,,0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,1HGCM722*3A******,,89.5221923404952,12,4
12475,10,1,1-10-2019-001-10,10,1,2G1WF52E3292,2002,2G1,GENERAL MOTORS LLC,GM,,CHEVROLET,Impala,2002,PASSENGER CAR,,,,,Sedan/Saloon,4,LA1,3400.0,,OSHAWA #1,ONTARIO,CANADA,,,,,,,,,,,,,22OCT2020:13:04:02.533,984,NA-GM Corp,,,,,,,,Not Applicable,,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,,,LAN,,6,Water,Gasoline,,Sequential Fuel Injection (SFI),V-Shaped,,,,,,,Manual,,1st Row (Driver & Passenger),,,,,,0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2G1WF52E*29******,,1588.71975497458,4,4
12476,20,1,1-20-2019-001-09,9,1,WBAAV33401FV,2001,WBA,BMW AG,BMW,"BMW OF NORTH AMERICA, LLC",BMW,325i,2001,PASSENGER CAR,3 Series,,,,Sedan/Saloon,4,,2500.0,,MUNICH,,GERMANY,,,,,,,,,,,,,22OCT2020:13:32:56.417,966,,,,,,,,,Not Applicable,,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,,,BMW-AG,,6,,Gasoline,,,,137.21,184.00,,,,,Manual,,1st Row (Driver & Passenger),,,,,,0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,WBAAV334*1F******,,138.068676004783,11,4
